time,num_bacteria,initial_num_phage,initial_num_antibiotic,mean_resistance
12,2,1,1,0.45251660614112416
13,2,1,1,0.45251660614112416
14,2,1,1,0.45251660614112416
15,2,1,1,0.4696222399508774
16,2,1,1,0.4696222399508774
17,2,1,1,0.4696222399508774
18,2,1,1,0.4696222399508774
19,2,1,1,0.4696222399508774
20,2,1,1,0.4696222399508774
0,2,1,2,0.6406868546981488
1,2,1,2,0.6736912666409587
2,2,1,2,0.44761035165594204
3,2,1,2,0.44761035165594204
4,2,1,2,0.44761035165594204
5,2,1,2,0.44761035165594204
6,2,1,2,0.44761035165594204
7,2,1,2,0.44761035165594204
8,2,1,2,0.44761035165594204
9,2,1,2,0.44761035165594204
10,2,1,2,0.44761035165594204
11,2,1,2,0.46690690625459064
12,2,1,2,0.46690690625459064
13,2,1,2,0.46690690625459064
14,2,1,2,0.46690690625459064
15,2,1,2,0.46690690625459064
16,2,1,2,0.46690690625459064
17,2,1,2,0.46690690625459064
18,2,1,2,0.46690690625459064
19,2,1,2,0.46690690625459064
20,2,1,2,0.46690690625459064
0,2,1,3,0.18919664244565065
1,2,1,3,0.17019115513214828
2,2,1,3,0.17019115513214828
3,2,1,3,0.17019115513214828
4,2,1,3,0.17019115513214828
5,2,1,3,0.17019115513214828
6,2,1,3,0.17019115513214828
7,2,1,3,0.17019115513214828
8,2,1,3,0.17019115513214828
9,2,1,3,0.17019115513214828
10,2,1,3,0.17019115513214828
11,2,1,3,0.17019115513214828
12,2,1,3,0.17019115513214828
13,2,1,3,0.17019115513214828
14,2,1,3,0.27720916235190335
15,2,1,3,0.27720916235190335
16,2,1,3,0.27720916235190335
17,2,1,3,0.27720916235190335
18,2,1,3,0.27720916235190335
19,2,1,3,0.27720916235190335
20,2,1,3,0.27720916235190335
0,2,1,4,0.2672643220611407
1,2,1,4,0.2672643220611407
2,2,1,4,0.2672643220611407
3,2,1,4,0.2672643220611407
4,2,1,4,0.2672643220611407
5,2,1,4,0.2672643220611407
6,2,1,4,0.2672643220611407
7,2,1,4,0.2672643220611407
8,2,1,4,0.3849416304072834
9,2,1,4,0.3849416304072834
10,2,1,4,0.3849416304072834
11,2,1,4,0.3849416304072834
12,2,1,4,0.3849416304072834
13,2,1,4,0.3849416304072834
14,2,1,4,0.3849416304072834
15,2,1,4,0.3849416304072834
16,2,1,4,0.3849416304072834
17,2,1,4,0.3849416304072834
18,2,1,4,0.3849416304072834
19,2,1,4,0.3849416304072834
20,2,1,4,0.3849416304072834
0,2,1,5,0.34354939414873004
1,2,1,5,0.34354939414873004
2,2,1,5,0.34354939414873004
3,2,1,5,0.34354939414873004
4,2,1,5,0.34354939414873004
5,2,1,5,0.34354939414873004
6,2,1,5,0.34354939414873004
7,2,1,5,0.34354939414873004
8,2,1,5,0.34354939414873004
9,2,1,5,0.3178738345800258
10,2,1,5,0.3178738345800258
11,2,1,5,0.3178738345800258
12,2,1,5,0.3178738345800258
13,2,1,5,0.2468753521624289
14,2,1,5,0.2468753521624289
15,2,1,5,0.2468753521624289
16,2,1,5,0.2468753521624289
17,2,1,5,0.2468753521624289
18,2,1,5,0.2468753521624289
19,2,1,5,0.2468753521624289
20,2,1,5,0.2468753521624289
0,2,2,1,0.577356198356727
1,2,2,1,0.577356198356727
2,2,2,1,0.577356198356727
3,2,2,1,0.577356198356727
4,2,2,1,0.577356198356727
5,2,2,1,0.577356198356727
6,2,2,1,0.577356198356727
7,2,2,1,0.577356198356727
8,2,2,1,0.4187377262334141
9,2,2,1,0.4187377262334141
10,2,2,1,0.6043304020189051
11,2,2,1,0.6043304020189051
12,2,2,1,0.6043304020189051
13,2,2,1,0.6043304020189051
14,2,2,1,0.4822332881225435
15,2,2,1,0.4822332881225435
16,2,2,1,0.4822332881225435
17,2,2,1,0.4822332881225435
18,2,2,1,0.4822332881225435
19,2,2,1,0.4822332881225435
20,2,2,1,0.4822332881225435
0,2,2,2,0.8427054196816892
1,2,2,2,0.7518219529417036
2,2,2,2,0.7518219529417036
3,2,2,2,0.7518219529417036
4,2,2,2,0.7518219529417036
5,2,2,2,0.7518219529417036
6,2,2,2,0.7518219529417036
7,2,2,2,0.7518219529417036
8,2,2,2,0.7518219529417036
9,1,2,2,0.0
10,1,2,2,0.5865221911599172
11,1,2,2,0.5865221911599172
12,1,2,2,0.5865221911599172
13,1,2,2,0.5865221911599172
14,1,2,2,0.5865221911599172
15,1,2,2,0.5865221911599172
16,1,2,2,0.5865221911599172
17,1,2,2,0.5865221911599172
18,1,2,2,0.5865221911599172
19,1,2,2,0.5865221911599172
20,1,2,2,0.5865221911599172
0,2,2,3,0.5560714691849145
1,2,2,3,0.5560714691849145
2,2,2,3,0.5560714691849145
3,2,2,3,0.5560714691849145
4,2,2,3,0.5560714691849145
5,2,2,3,0.5560714691849145
6,2,2,3,0.5560714691849145
7,2,2,3,0.5560714691849145
8,2,2,3,0.5560714691849145
9,2,2,3,0.5560714691849145
10,2,2,3,0.5560714691849145
11,2,2,3,0.5560714691849145
12,2,2,3,0.5560714691849145
13,2,2,3,0.5970284407426095
14,2,2,3,0.5970284407426095
15,2,2,3,0.5970284407426095
16,2,2,3,0.5970284407426095
17,2,2,3,0.5970284407426095
18,2,2,3,0.5970284407426095
19,2,2,3,0.5970284407426095
20,2,2,3,0.5970284407426095
0,2,2,4,0.48007705884509866
1,2,2,4,0.48007705884509866
2,2,2,4,0.48007705884509866
3,2,2,4,0.48007705884509866
4,2,2,4,0.48007705884509866
5,2,2,4,0.48007705884509866
6,2,2,4,0.48007705884509866
7,2,2,4,0.48007705884509866
8,2,2,4,0.48007705884509866
9,2,2,4,0.48007705884509866
10,2,2,4,0.48007705884509866
11,2,2,4,0.48007705884509866
12,2,2,4,0.48007705884509866
13,2,2,4,0.48007705884509866
14,2,2,4,0.48007705884509866
15,2,2,4,0.48007705884509866
16,2,2,4,0.48007705884509866
17,2,2,4,0.48007705884509866
18,2,2,4,0.48007705884509866
19,2,2,4,0.48007705884509866
20,2,2,4,0.48007705884509866
0,2,2,5,0.7445988439785225
1,2,2,5,0.7445988439785225
2,1,2,5,0.8559890184459406
3,1,2,5,0.8559890184459406
4,1,2,5,0.8559890184459406
5,1,2,5,0.8559890184459406
6,1,2,5,0.8559890184459406
7,1,2,5,0.8559890184459406
8,1,2,5,0.8559890184459406
9,1,2,5,0.8559890184459406
10,1,2,5,0.8559890184459406
11,1,2,5,0.8559890184459406
12,1,2,5,0.8559890184459406
13,1,2,5,0.8559890184459406
14,1,2,5,0.8559890184459406
15,1,2,5,0.8559890184459406
16,1,2,5,0.8559890184459406
17,1,2,5,0.8559890184459406
18,1,2,5,0.8559890184459406
19,1,2,5,0.8559890184459406
20,1,2,5,0.8559890184459406
0,2,3,1,0.594675869746
1,2,3,1,0.594675869746
2,2,3,1,0.594675869746
3,2,3,1,0.594675869746
4,2,3,1,0.594675869746
5,2,3,1,0.594675869746
6,2,3,1,0.594675869746
7,2,3,1,0.6919586715464232
8,2,3,1,0.6919586715464232
9,2,3,1,0.6919586715464232
10,2,3,1,0.6919586715464232
11,2,3,1,0.6919586715464232
12,2,3,1,0.6919586715464232
13,2,3,1,0.6919586715464232
14,2,3,1,0.6919586715464232
15,2,3,1,0.6919586715464232
16,2,3,1,0.6919586715464232
17,2,3,1,0.6919586715464232
18,2,3,1,0.6503302956259439
19,2,3,1,0.6503302956259439
20,2,3,1,0.5059820423719223
0,2,3,2,0.598538705129597
1,2,3,2,0.598538705129597
2,2,3,2,0.598538705129597
3,1,3,2,0.760768940760654
4,1,3,2,0.760768940760654
5,1,3,2,0.760768940760654
6,1,3,2,0.760768940760654
7,1,3,2,0.760768940760654
8,1,3,2,0.760768940760654
9,1,3,2,0.760768940760654
10,1,3,2,0.760768940760654
11,1,3,2,0.760768940760654
12,1,3,2,0.760768940760654
13,1,3,2,0.760768940760654
14,1,3,2,0.760768940760654
15,1,3,2,0.760768940760654
16,1,3,2,0.760768940760654
17,1,3,2,0.760768940760654
18,1,3,2,0.760768940760654
19,1,3,2,0.760768940760654
20,1,3,2,0.760768940760654
0,2,3,3,0.4878094261936387
1,2,3,3,0.6315832692832399
2,2,3,3,0.6315832692832399
3,2,3,3,0.6315832692832399
4,2,3,3,0.6315832692832399
5,2,3,3,0.6315832692832399
6,2,3,3,0.6315832692832399
7,2,3,3,0.6315832692832399
8,2,3,3,0.6315832692832399
9,2,3,3,0.6315832692832399
10,2,3,3,0.6315832692832399
11,2,3,3,0.6315832692832399
12,2,3,3,0.6315832692832399
13,2,3,3,0.6315832692832399
14,1,3,3,0.0
15,1,3,3,0.963965242603441
16,1,3,3,0.963965242603441
17,1,3,3,0.963965242603441
18,1,3,3,0.963965242603441
19,1,3,3,0.963965242603441
20,1,3,3,0.963965242603441
0,2,3,4,0.43678686778985465
1,2,3,4,0.43678686778985465
2,2,3,4,0.43678686778985465
3,2,3,4,0.43678686778985465
4,2,3,4,0.43678686778985465
5,2,3,4,0.43678686778985465
6,2,3,4,0.43678686778985465
7,2,3,4,0.43678686778985465
8,2,3,4,0.43678686778985465
9,2,3,4,0.43678686778985465
10,2,3,4,0.43678686778985465
11,2,3,4,0.43678686778985465
12,2,3,4,0.43678686778985465
13,2,3,4,0.3183859234548475
14,1,3,4,0.0
15,1,3,4,0.5301165253770133
16,1,3,4,0.5301165253770133
17,1,3,4,0.5301165253770133
18,1,3,4,0.5301165253770133
19,1,3,4,0.5301165253770133
20,1,3,4,0.5301165253770133
0,2,3,5,0.16131045926602816
1,2,3,5,0.16131045926602816
2,2,3,5,0.16131045926602816
3,2,3,5,0.16131045926602816
4,2,3,5,0.16131045926602816
5,2,3,5,0.16131045926602816
6,2,3,5,0.16131045926602816
7,2,3,5,0.11584470236543959
8,2,3,5,0.11584470236543959
9,2,3,5,0.11584470236543959
10,2,3,5,0.11584470236543959
11,2,3,5,0.11584470236543959
12,2,3,5,0.11584470236543959
13,2,3,5,0.11584470236543959
